Time	Open	High	Low	Close	Volume
2007-11-18 00:00:00	786.226	793.844	785.254	791.852	155
2007-11-19 00:00:00	791.788	792.748	774.695	778.083	1408
2007-11-20 00:00:00	777.979	805.701	772.513	801.396	1413
2007-11-21 00:00:00	801.41	806.91	794.422	800.852	1403
2007-11-22 00:00:00	800.861	805.12	800.491	803.459	1289
2007-11-23 00:00:00	803.497	825.432	803.135	823.223	1243
2007-11-25 00:00:00	823.147	828.598	821.374	828.082	144
2007-11-26 00:00:00	828.032	836.436	820.755	824.097	1419
2007-11-27 00:00:00	824.128	828.849	807.658	812.307	1409
2007-11-28 00:00:00	812.208	812.325	791.368	804.317	1409
2007-11-29 00:00:00	804.299	807.523	791.454	795.818	1414
2007-11-30 00:00:00	795.814	798.942	778.456	783.123	1253
2007-12-02 00:00:00	783.112	786.399	782.754	786.279	142
2007-12-03 00:00:00	786.332	794.225	776.66	790.306	1409
2007-12-04 00:00:00	790.164	804.965	786.724	802.853	1401
2007-12-05 00:00:00	802.852	806.364	790.736	794.436	1404
2007-12-06 00:00:00	794.417	805.244	784.834	802.369	1405
2007-12-07 00:00:00	802.423	804.728	791.301	794.122	1242
2007-12-09 00:00:00	794.394	796.614	793.862	794.787	150
2007-12-10 00:00:00	794.824	811.792	794.306	806.097	1405
2007-12-11 00:00:00	806.106	812.791	795.422	805.222	1400
2007-12-12 00:00:00	805.206	816.741	800.51	810.399	1401
2007-12-13 00:00:00	810.32	811.938	791.967	801.457	1405
2007-12-14 00:00:00	801.367	803.204	787.436	794.385	1245
2007-12-16 00:00:00	793.722	797.264	792.627	797.207	146
2007-12-17 00:00:00	797.264	798.535	784.765	794.52	1395
2007-12-18 00:00:00	794.477	806.008	789.996	800.907	1396
2007-12-19 00:00:00	800.85	804.319	797.427	801.743	1395
2007-12-20 00:00:00	801.62	801.863	793.103	798.036	1396
2007-12-21 00:00:00	797.876	812.055	797.133	811.122	1232
2007-12-23 00:00:00	810.77	811.536	808.441	809.568	142
2007-12-24 00:00:00	809.487	815.071	807.861	811.11	1241
2007-12-25 00:00:00	811.108	811.174	806.211	808.146	722
